Strain	Coverage	Depth	Abundance(%)	Genome length	SNP	SNP density	Saturation number prediction
GCF_000299455	0.854750987005387	627.83998622873	27.778144276862957	5437407	50188	0.01079862441688	51362.48833333333
GCF_000162015	0.8266542063695719	354.1640364890826	17.03504794586988	3090349	84002	0.032881999491124	86228.67209523811
GCF_000154205	0.8681383323970666	135.66210929760504	6.050135530483789	4719097	48038	0.0117256541583746	48142.925
GCF_000174195	0.7773507569047209	121.71080153401464	5.6503693366291285	4048462	51674	0.0164196913006521	56190.805
GCF_000242435	0.667782720683681	89.276637789269	5.197351536743207	2499879	117093	0.070141777526453	123878.92833333332
GCF_000187895	0.7226639354272032	95.6296297720178	4.377463934757224	4421924	118296	0.0370188057510956	121133.25208333334
GCF_000154465	0.8441743724609692	89.45257339421127	3.967588502815172	2550678	9764	0.0045346103063462	10292.068333333333
GCF_000154525	0.8003151755349168	67.9859008950257	3.034408863985316	4009829	29880	0.0093109434434972	30337.546250000003
GCF_000273035	0.7831730370670587	53.9052925730347	2.431917028163304	6079576	29464	0.0061881479241225	29767.82626190476
GCF_000283495	0.7808881658435426	31.893148633500868	1.6416486848580738	2474718	126397	0.0654066954449158	139223.83601190473
GCF_000299455	0.81108274587501	64.25014460017431	27.709463737288942	5437407	32	7.255928149985477e-06	51493.53855952382
GCF_000162015	0.8013279406306537	36.62606456422883	17.249732459993222	3090349	17	6.864850873229222e-06	65623.87651190473
GCF_000154205	0.7968984320517252	13.785631657920996	5.99239039391865	4719097	7	1.861384801154909e-06	55295.09644047619
GCF_000174195	0.7507389225834403	12.459248475099926	5.650354626175927	4048462	148	4.8694814462886326e-05	62707.69514285713
GCF_000242435	0.6333382535714729	9.193708575495052	5.238340763718914	2499879	36	2.273776597659652e-05	100310.59259523806
GCF_000187895	0.6961922004991492	9.710405696705775	4.335102299131735	4421924	62	2.0139619536600347e-05	79906.12044047615
GCF_000154465	0.825812979921417	9.079891307330834	3.923906550769065	2550678	0	0.0	32329.719666666686
GCF_000154525	0.7569208063485999	6.884760173064737	2.99445631471366	4009829	25	8.236898471659963e-06	50097.3842142857
GCF_000273035	0.7475550926577774	5.470817372790471	2.406401480881165	6079576	2	4.400616262301373e-07	36624.44111904763
GCF_000283495	0.7412961800091971	3.272515898781194	1.6440738903947605	2474718	0	0.0	86167.75739285714
GCF_000299455	0.8805033355053246	5269.649714652591	27.224803722212823	5437407	50795	0.0106095781755368	51263.93458333333
GCF_000162015	0.846083403524974	3005.100189654954	16.871949707336938	3090349	85182	0.0325782032536898	86184.17733333335
GCF_000154205	0.8867262105440935	1190.0325244427058	6.19191243204727	4719097	48148	0.0115061439147415	48193.77428571429
GCF_000174195	0.8027359525666784	1065.7809111213098	5.767949999984616	4048462	55309	0.0170189602830411	56528.651904761915
