Strain	Coverage	Depth	Abundance(%)	Genome length	SNP	SNP density	Saturation number prediction
GCF_000299455	0.854750987005387	627.83998622873	27.778144276862957	5437407	50188	0.01079862441688	51106.97266666667
GCF_000162015	0.8266542063695719	354.1640364890826	17.03504794586988	3090349	84002	0.032881999491124	86212.0
GCF_000154205	0.8681383323970666	135.66210929760504	6.050135530483789	4719097	48038	0.0117256541583746	48185.19714285715
GCF_000174195	0.7773507569047209	121.71080153401464	5.6503693366291285	4048462	51674	0.0164196913006521	56172.0
GCF_000242435	0.667782720683681	89.276637789269	5.197351536743207	2499879	117093	0.070141777526453	123856.0
GCF_000187895	0.7226639354272032	95.6296297720178	4.377463934757224	4421924	118296	0.0370188057510956	121060.41666666666
GCF_000154465	0.8441743724609692	89.45257339421127	3.967588502815172	2550678	9764	0.0045346103063462	9946.032857142856
GCF_000154525	0.8003151755349168	67.9859008950257	3.034408863985316	4009829	29880	0.0093109434434972	31007.085952380952
GCF_000273035	0.7831730370670587	53.9052925730347	2.431917028163304	6079576	29464	0.0061881479241225	29730.004226190475
GCF_000283495	0.7808881658435426	31.893148633500868	1.6416486848580738	2474718	126397	0.0654066954449158	137315.72308333335
GCF_000299455	0.81108274587501	64.25014460017431	27.709463737288942	5437407	32	7.255928149985477e-06	60811.393178571416
GCF_000162015	0.8013279406306537	36.62606456422883	17.249732459993222	3090349	17	6.864850873229222e-06	64881.22232142856
GCF_000154205	0.7968984320517252	13.785631657920996	5.99239039391865	4719097	7	1.861384801154909e-06	61540.360428571425
GCF_000174195	0.7507389225834403	12.459248475099926	5.650354626175927	4048462	148	4.8694814462886326e-05	66499.93251190477
GCF_000242435	0.6333382535714729	9.193708575495052	5.238340763718914	2499879	36	2.273776597659652e-05	94414.49048809527
GCF_000187895	0.6961922004991492	9.710405696705775	4.335102299131735	4421924	62	2.0139619536600347e-05	81307.0607380952
GCF_000154465	0.825812979921417	9.079891307330834	3.923906550769065	2550678	0	0.0	36046.038226190474
GCF_000154525	0.7569208063485999	6.884760173064737	2.99445631471366	4009829	25	8.236898471659963e-06	53166.81734920633
GCF_000273035	0.7475550926577774	5.470817372790471	2.406401480881165	6079576	2	4.400616262301373e-07	50312.49792857144
GCF_000283495	0.7412961800091971	3.272515898781194	1.6440738903947605	2474718	0	0.0	91868.14580952378
GCF_000299455	0.8805033355053246	5269.649714652591	27.224803722212823	5437407	50795	0.0106095781755368	51460.14166666666
GCF_000162015	0.846083403524974	3005.100189654954	16.871949707336938	3090349	85182	0.0325782032536898	86213.05666666666
GCF_000154205	0.8867262105440935	1190.0325244427058	6.19191243204727	4719097	48148	0.0115061439147415	48181.0
GCF_000174195	0.8027359525666784	1065.7809111213098	5.767949999984616	4048462	55309	0.0170189602830411	56954.20949999999
GCF_000242435	0.6965417126188908	767.0052162524667	5.228071583778727	2499879	122750	0.0704945241117115	123856.0
GCF_000187895	0.739711944393436	835.2880467868738	4.456967961549172	4421924	120002	0.0366872009660801	120943.0
GCF_000154465	0.8607683917766178	781.0085377299682	4.042201296319041	2550678	9904	0.0045109569705535	9895.46
GCF_000154525	0.8161560006673602	598.487327514465	3.116281583136398	4009829	30005	0.0091684221269272	30230.274841269842
GCF_000273035	0.8038629667595241	475.75453995476	2.5024146847448825	6079576	29340	0.0060035038854988	30109.375396825395
GCF_000283495	0.7954150735558556	277.3770102290443	1.662094554822672	2474718	135639	0.0689072701668539	137115.99333333335
GCF_000299455	0.8669792421277275	1228.8665373035346	27.75836216879684	5437407	50608	0.0107354099461638	51129.106
GCF_000162015	0.8318319387227786	692.956742749767	17.001645171053394	3090349	83780	0.0325909662571854	86212.0
GCF_000154205	0.8758987153686394	266.8680978585522	6.075160238851399	4719097	48155	0.0116500715745753	48111.61333333334
GCF_000174195	0.7859807008192247	239.29448738805007	5.665482836476963	4048462	53449	0.0167972286725415	56172.0
GCF_000242435	0.6759999183960503	174.32331724855484	5.180103973667128	2499879	119103	0.0704785675991379	123856.0
GCF_000187895	0.7280842004521109	188.0612335264016	4.3926353173493	4421924	118664	0.0368575193979996	120943.0
GCF_000154465	0.8492228340856823	175.74582169917176	3.978787158615081	2550678	9784	0.0045168861554484	9946.032857142856
GCF_000154525	0.8051682503169088	133.89211410262132	3.0500950960657938	4009829	29920	0.0092672119413229	30143.621666666666
GCF_000273035	0.7914186778814838	106.05224032070656	2.441908541660166	6079576	29610	0.0061540188174557	29789.169226190475
GCF_000283495	0.7856224426379086	62.87147101205067	1.6497537241321247	2474718	131827	0.0678054762024777	137109.196
GCF_000299455	0.8258532053973521	127.9655782618443	27.705619416216347	5437407	49841	0.0110992094421556	51971.9938095238
GCF_000162015	0.8103104212501565	72.79112973971549	17.18346419238565	3090349	84925	0.0339138115969461	88317.11666666665
GCF_000154205	0.8245259633357822	27.526902922317557	6.009029492326659	4719097	46777	0.0120217896704667	49581.088476190474
GCF_000174195	0.7592001604559954	24.83649469848056	5.647840543806834	4048462	50177	0.0163251933486313	61624.073999999986
GCF_000242435	0.6443395860359642	18.36941027945753	5.243451198860096	2499879	104349	0.0647820205355075	125883.90180952381
GCF_000187895	0.7052952515692265	19.419882159892392	4.351930613439755	4421924	114544	0.0367273937543166	123738.55013095235
GCF_000154465	0.8334509491201947	18.056517522007876	3.920243827446914	2550678	9186	0.0043210646019385	10596.91396825397
GCF_000154525	0.7719284288681637	13.771139866562889	3.007912250991516	4009829	27667	0.0089383875752309	32390.537134920633
GCF_000273035	0.759944114523776	10.913012683779264	2.410036638075124	6079576	22036	0.0047695545024845	39264.91462301589
